SYID	SY_vol_radical	SY_radical	Entry	Entry_original	UCShex	SY_def	KSY_diff
a005a101	v1#1	一	一		&#x4E00;	於逸切。《說文》曰：惟初太始、道立於一、造分天地、化成萬物。《道德經》云：昔之得一者、天得一以清、地得一以寧、神得一以靈、谷得一以盈、萬物得一以生、侯王得一以爲天下正。王弼曰：一者數之始也、物之極也。又同也、少也、初也。或作壹。
a005b011	v1#1	一	弌		&#x5F0C;	古文。
a005b012	v1#1	一	天		&#x5929;	他前切。《說文》曰：天顚也、至高無上、从一大。《爾雅》曰：春爲蒼天、夏爲昊天、秋爲旻天、冬爲上天。《詩傳》云：尊而君之則稱皇天、元氣廣大則稱昊天、仁覆閔下則稱旻天、自上降監則稱上天、據遠視之蒼蒼然則稱蒼天。《呂氏春秋》云：天有九野、東方蒼、東南方陽、南方炎、西南方朱、西方顥、西北方幽、北方玄、東北方變、中央鈞。《太玄經》曰：九天、一爲中、二爲羡、三爲從、四爲更、五爲睟、六爲廓、七爲減、八爲沈、九爲成。《釋名》曰：天豫司兖冀以舌腹言之。天顯也、在上高顯也。青徐以舌頭言之。天坦也、坦然高而遠也。
a005b051	v1#1	一	𠀡		&#xD840;&#xDC21;	並古文。
a005b052	v1#1	一	𠀘		&#xD840;&#xDC18;	並古文。
a005b053	v1#1	一	元		&#x5143;	五袁切。《說文》曰：元始也。《易》曰：元者善之長也。《春秋傳》曰：狄人歸其元元首也。《韓詩》曰：元長也。《公羊傳》曰：元年春者何君之始年也。何休云：變一言元元者氣也。《左氏傳注》曰：凡人君即位欲其體元以居正故不言一年一月也。《漢書》曰：勸元元。師古曰：元元善意。
a005b071	v1#1	一	丕		&#x4E15;	普邳切。《虞書》曰：嘉乃丕績。孔安國曰：丕大也。或作㔻。
a005b072	v1#1	一	吏		&#x540F;	力致切。《說文》曰：治人者也。《夏書》曰：天吏逸德烈于猛火。《周禮》：八則、三曰廢置以馭其吏。《左氏傳》曰：王使委於三吏。杜預曰：三吏三公也。《禮記》曰：五官之長、曰伯。其擯於天子也、曰天子之吏。
a005b091	v1#1	一	𠆣		&#xD840;&#xDDA3;	竹瓦切。
a005b101	v1#2	上	上		&#x4E0A;	市讓切。《說文》云：高也。又居也。《易》曰：本乎天者親上。《虞書》曰：正月上日。孔安國曰：上日朔日也。《老子》曰：太上下知有之。王弼曰：太上大人也。《漢書》云：望於太上。如淳曰：太上猶天子也。又市掌切。登也、升也。
a006a011	v1#2	上	丄		&#x4E04;	古文。
a006a012	v1#2	上	帝		&#x5E1D;	丁計切。《說文》云：諦也、王天下之號也。《爾雅》曰：君也。《白虎通》曰：德合天者稱帝。《商書》云：惟皇上帝。孔安國曰：上帝天帝也。《周禮》曰：兆五帝於四郊。鄭玄曰：五帝、蒼曰靈威仰、太昊食焉、赤曰赤熛怒、炎帝食焉、黃曰含樞紐、黃帝食焉、白曰白招拒少昊食焉、黑曰汁光紀、顓頊食焉。
a006a031	v1#2	上	𢂇		&#xD848;&#xDC87;	古文。
a006a032	v1#2	上	旁		&#x65C1;	歩郎切。旁猶側也、邊也、非一方也。《說文》作㫄溥也。
a006a041	v1#2	上	雱		&#x96F1;	籀文。
a006a042	v1#2	上	𣃟		&#xD84C;&#xDCDF;	（並古文。）
a006a043	v1#2	上	𣃙		&#xD84C;&#xDCD9;	並古文。
a006a044	v1#2	上	下		&#x4E0B;	何雅切。《易》曰：化成天下下者對上之稱也。《說文》曰：底也。《詩》云：下武維周。《箋》云：下猶後也。《禮記》曰：揖讓而升下而飲。鄭玄曰：下降也。杜預注《左傳》云：下猶賤也。《爾雅》曰：下落也。又何稼切。行下也。《易》曰：以貴下賤是也。
a006a071	v1#3	示	示		&#x793A;	時至切。《說文》云：天垂象見吉凶所以示人也。《易》曰：夫乾確然示人易矣夫坤隤然示人簡矣示者語也、以事告人曰示也。
a006a081	v1#3	示	𥘅		&#xD855;&#xDE05;	古文。
a006a082	v1#3	示	神		&#x795E;	市人切。神祇。《說文》曰：天神、引出萬物者也。《夏書》曰：乃聖乃神。孔安國云：聖無所不通、神妙無方。《易》曰：隂陽不測之謂神。王弼云：神也者變化之極大。《戴禮》云：陽之精氣曰神、隂之精氣曰靈。《爾雅》云：神重也、治也、愼也。《廣雅》云：神弘也。
a006a091	v1#3	示	祇		&#x7947;	巨支切。地之神也。《易》曰：無祇悔、韓康伯云：祇、大也。《周禮》：亦作示。
a006a101	v1#3	示	齋		&#x9F4B;	側皆切。《易》曰：聖人以此齋戒。韓康伯曰：洗心曰齋、防患曰戒、又敬也。
a006a102	v1#3	示	𪗓		&#xD869;&#xDDD2;	籀文。
a006b011	v1#3	示	祕		&#x7955;	悲冀切。《說文》云：神也。《廣雅》曰：勞也、蜜也、藏也。
a006b012	v1#3	示	祗		&#x7957;	諸時切。敬也。俗作袨。
a006b013	v1#3	示	祭		&#x796D;	子滯切。薦也、祭祀也。又側界切。周大夫邑名。
a006b021	v1#3	示	䃾		&#x40FE;	必利切。《說文》云：以豚祠司命也。
a006b022	v1#3	示	祀		&#x7940;	徐里切。《周書》：八政三曰祀。《爾雅》云：祭也。又年也。
a006b023	v1#3	示	禩		&#x79A9;	同上。
a006b024	v1#3	示	祏		&#x794F;	殊亦切。廟主石室也。
a006b025	v1#3	示	禋		&#x798B;	於神切。敬也。《說文》：絜祀也、一曰精意以亨爲禋。
a006b031	v1#3	示	𥛛		&#xD855;&#xDEDB;	同上。
a006b032	v1#3	示	祡		&#x7961;	仕佳切。《說文》云：燒祡樊燎以祭天神。亦作柴。《爾雅》曰：祭天曰燔柴。
a006b033	v1#3	示	𥚨		&#xD855;&#xDEA8;	古文。
a006b041	v1#3	示	祖		&#x7956;	子古切。父之父也、道祭也、始也。
a006b042	v1#3	示	𥛱		&#xD855;&#xDEF1;	布庚切。祭。《說文》曰：門内祭先祖、所以徬徨也。亦作𥛻。
a006b043	v1#3	示	祊		&#x794A;	同上。
a006b044	v1#3	示	祠		&#x7960;	似司切。《公羊傳》云：春祭曰祠、祠猶食也。
a006b051	v1#3	示	礿		&#x793F;	餘灼切。《公羊傳》云：夏祭曰礿。
a006b052	v1#3	示	禴		&#x79B4;	同上。
a006b053	v1#3	示	祫		&#x796B;	何夾切。合祭也。
a006b054	v1#3	示	禘		&#x7998;	徒計切。大祭也、諦也。
a006b055	v1#3	示	祜		&#x795C;	胡古切。《詩》云：受天之祜。《箋》云：祜福也。
a006b061	v1#3	示	福		&#x798F;	方伏切。禄命也。《說文》：祐也。
a006b062	v1#3	示	禧		&#x79A7;	許其切。福也。
a006b063	v1#3	示	祐		&#x7950;	于救切。助也。《易》曰：自天祐之吉無不利。或作佑。
a006b064	v1#3	示	祺		&#x797A;	巨基切。吉也。又徴祥也。
a006b071	v1#3	示	禥		&#x79A5;	籀文。
a006b072	v1#3	示	祿	禄	&#x797F;	音鹿。賞賜也。又福祿也。
a006b073	v1#3	示	禛		&#x799B;	之仁切。以眞受福也。
a006b074	v1#3	示	祉		&#x7949;	丑理切。福也。
a006b075	v1#3	示	禔		&#x7994;	之移切。福也、安也。又音匙。
a006b081	v1#3	示	祥		&#x7965;	似羊切。妖怪也。又福也、善也。
a006b082	v1#3	示	禎		&#x798E;	音貞。吉祥也。
a006b083	v1#3	示	禠		&#x79A0;	息離切。福也。
a006b084	v1#3	示	禨		&#x79A8;	居衣切。祥也。
a006b085	v1#3	示	祪		&#x796A;	居毀切。毀廟之祖也。
a006b086	v1#3	示	禰		&#x79B0;	年禮切。父廟也。
a006b091	v1#3	示	𥙄		&#xD855;&#xDE44;	同上。
a006b092	v1#3	示	祰		&#x7970;	口老公䔍二切。禱也、告祭也。
a006b093	v1#3	示	祼		&#x797C;	古換切。裸鬯告神也。
a006b094	v1#3	示	䄂		&#x4102;	恥霤切。古文𥛅。
a006b095	v1#3	示	祝		&#x795D;	之六切。祭詞也。
a006b096	v1#3	示	祈		&#x7948;	巨衣切。禱也、報也、告也。
a006b101	v1#3	示	禷		&#x79B7;	力季切。祭也。《爾雅》曰：是禷是禡師祭也。或作𦝭。
a006b102	v1#3	示	禱		&#x79B1;	丁老切。請也、謝也、求福也。
a006b103	v1#3	示	𥜹		&#xD855;&#xDF39;	籀文。
a006b104	v1#3	示	𥛇		&#xD855;&#xDEC7;	古文。
a006b105	v1#3	示	䄟		&#x411F;	昌芮切。數祭也、重祭也。又此芮切。
a007a011	v1#3	示	禮		&#x79AE;	力底切。體也、理也。
a007a012	v1#3	示	礼		&#x793C;	古文。
a007a013	v1#3	示	祔		&#x7954;	扶付切。視也、合葬也。
a007a014	v1#3	示	𥛅		&#xD855;&#xDEC5;	除霤切。祝𥛅也。又力救切。
a007a015	v1#3	示	社		&#x793E;	市者切。土地神主也。
a007a021	v1#3	示	𥙲		&#xD855;&#xDE72;	古文。
a007a022	v1#3	示	禖		&#x7996;	莫回切。求子祭。
a007a023	v1#3	示	禪		&#x79AA;	市戰切。祭名。又市然切。靜也。
a007a024	v1#3	示	禜		&#x799C;	音詠。風雨不時祭名。
a007a025	v1#3	示	䄆		&#x4106;	胡括切。《說文》云：祀也。又法也。
a007a031	v1#3	示	禳		&#x79B3;	而羊切。卻變異也。
a007a032	v1#3	示	禬		&#x79AC;	胡外古外二切。除災害也、會福祭也。
a007a033	v1#3	示	禕		&#x7995;	於宜切。美皃。又歎辝。
a007a034	v1#3	示	禦		&#x79A6;	魚舉切。禁也。又當也。
a007a035	v1#3	示	祴		&#x7974;	古來切。祴夏樂章名。
a007a041	v1#3	示	禶		&#x79B6;	昨坦切。祭也。
a007a042	v1#3	示	𥜲		&#xD855;&#xDF32;	古典切。祇也。
a007a043	v1#3	示	禡		&#x79A1;	莫駕切。師祭也。又馬上祭也。
a007a044	v1#3	示	祳		&#x7973;	時忍切。祭社生肉也、俎實也。
a007a045	v1#3	示	祾		&#x797E;	力矜力登二切。祭名神靈之威福也。
a007a051	v1#3	示	祚		&#x795A;	才故切。禄也、保也。
a007a052	v1#3	示	祱		&#x7971;	始銳切。《博雅》云：祭也。
a007a053	v1#3	示	祽		&#x797D;	子内切。祭名。
a007a054	v1#3	示	䄛		&#x411B;	力侯切。飲食祭也、冀州八月、楚俗二月。亦作膢、從簍亦同。
a007a061	v1#3	示	䄍		&#x410D;	仕駕切。報祭也、古之臘曰䄍。亦作蜡。
a007a062	v1#3	示	禂		&#x7982;	丁道切。馬祭也。
a007a063	v1#3	示	祧		&#x7967;	他幺切。遠廟也。
a007a064	v1#3	示	𥜔		&#xD855;&#xDF14;	古文。
a007a065	v1#3	示	禓		&#x7993;	與章書羊二切。強鬼也、道上祭也。
a007a071	v1#3	示	祲		&#x7972;	子鴆切。《周禮》：有㫝祲。鄭玄曰：祲陰陽氣相侵漸成祥者。《左氏傳》曰：吾見赤黑之祲。杜預曰：妖氣也。
a007a072	v1#3	示	禊		&#x798A;	胡計切。《史記》云：漢武帝禊霸上。徐廣曰：三月上巳臨水祓除謂之禊也。
a007a081	v1#3	示	禍		&#x798D;	胡果切。害也、神不福也。
a007a082	v1#3	示	𥙯	𥚁	&#xD855;&#xDE6F;	同上。
a007a083	v1#3	示	𥚩		&#xD855;&#xDEA9;	私呂切。祭具也。
a007a091	v1#3	示	祟		&#x795F;	思遂切。神禍也。
a007a092	v1#3	示	𥜱		&#xD855;&#xDF31;	籀文。
a007a093	v1#3	示	𥛜		&#xD855;&#xDEDC;	側慮切。祝也。亦作詛。
a007a094	v1#3	示	祙		&#x7959;	音媚。即鬼魅也。
a007a095	v1#3	示	禁		&#x7981;	記鴆切。止也、錮也。又記林切。
a007a096	v1#3	示	禲		&#x79B2;	音厲。無後、鬼也、鬼有所歸乃不爲禲。
a007a101	v1#3	示	祅		&#x7945;	於驕切。天反時爲災、地反物爲祅。《說文》作䄏。
a007a102	v1#3	示	禫		&#x79AB;	徒感切。祭名也。《說文》曰：除服祭也。
a007a103	v1#3	示	祩		&#x7969;	之俞切。呪詛也。又音注。
a007b011	v1#3	示	䄤		&#x4124;	力大切。墮壞也。
a007b012	v1#3	示	祤		&#x7964;	于矩切。祋祤縣名、在馮翊。又音詡。
a007b013	v1#3	示	䄐		&#x4110;	丘倦切。祀也。
a007b014	v1#3	示	䄌		&#x410C;	竹芮切。祭名。亦作醊。
a007b015	v1#3	示	𥙮		&#xD855;&#xDE6E;	思淺切。秋田祭也。与獮同。
a007b021	v1#3	示	䄃		&#x4103;	於畺切。禍也。古文殃。
a007b022	v1#3	示	礽		&#x793D;	而凌切。福也。又就也。亦作仍。
a007b023	v1#3	示	𥛲		&#xD855;&#xDEF2;	子誚切。祭名。或作醮。
a007b024	v1#3	示	𥛰		&#xD855;&#xDEF0;	力弔切。与𤊽同。
a007b025	v1#3	示	䄉		&#x4109;	音俄。盛皃。或作娥。
a007b031	v1#3	示	𥜃		&#xD855;&#xDF03;	音亦。祭之明日。又祭殷曰肜、周曰𥜃。亦作繹。
a007b032	v1#3	示	𥙰		&#xD855;&#xDE70;	市救切。久年也。
a007b033	v1#3	示	禗		&#x7997;	息茲切。不安也、欲去意也。
a007b034	v1#3	示	祘		&#x7958;	蘇換切。明視也。
a007b041	v1#3	示	禉		&#x7989;	以久以州二切。燎也、祡祭天也。
a007b042	v1#3	示	䄎		&#x410E;	乞喜切。好貌。
a007b043	v1#3	示	𥛳		&#xD855;&#xDEF3;	欣居切。耗鬼也。與魖同。
a007b044	v1#3	示	𥜚		&#xD855;&#xDF1A;	於柳切。福也。
a007b045	v1#3	示	祣		&#x7963;	力煑切。祭名。《論語》作旅。
a007b051	v1#3	示	䄄		&#x4104;	音因。成就也。
a007b052	v1#3	示	𥜒		&#xD855;&#xDF12;	於琰切。𥜒禳也。
a007b053	v1#3	示	䃽		&#x40FD;	質夷切。福也。
a007b054	v1#3	示	䄅		&#x4105;	居倦切。祭名也。本作飬。
a007b055	v1#3	示	䄁	⿰礻丗	&#x4101;	翌制切。祭也。
a007b056	v1#3	示	𥛯		&#xD855;&#xDEEF;	古穴切。不祥也。
a007b061	v1#3	示	𥛚		&#xD855;&#xDEDA;	丑歷切。福也。
a007b062	v1#3	示	𥙎		&#xD855;&#xDE4E;	莫伯切。神也。
a007b063	v1#3	示	䃿		&#x40FF;	方無切。祭䟽也。
a007b064	v1#3	示	䄓		&#x4113;	戶光切。䄘䄓祭也。
a007b065	v1#3	示	䄜		&#x411C;	力之切。福祥也。
a007b066	v1#3	示	𥜰		&#xD855;&#xDF30;	所宜切。祭名。
a007b067	v1#3	示	禯		&#x79AF;	尼龍切。厚祭也。
a007b071	v1#3	示	𥙬		&#xD855;&#xDE6C;	所交切。祜也。
a007b072	v1#3	示	祹		&#x7979;	徒勞切。福也。
a007b073	v1#3	示	禑		&#x7991;	音吳。福也。
a007b074	v1#3	示	䄝		&#x411D;	丑江切。祭壇不毀也。
a007b075	v1#3	示	禟		&#x799F;	徒郎切。祐也。
a007b076	v1#3	示	𥜴		&#xD855;&#xDF34;	去言切。祭也。
a007b081	v1#3	示	祌		&#x794C;	音仲。神也。
a007b082	v1#3	示	禭		&#x79AD;	詞類切。祭名。
a007b083	v1#3	示	𥛝		&#xD855;&#xDEDD;	符容切。神名。
a007b084	v1#3	示	䄚		&#x411A;	才刀切。豕祭也。
a007b085	v1#3	示	祆		&#x7946;	阿憐切。胡神也。
a007b086	v1#3	示	祻		&#x797B;	音固。祭也。
a007b087	v1#3	示	𥘬		&#xD855;&#xDE2C;	音弗。除殃祭也。
a007b091	v1#3	示	禚		&#x799A;	之若切。齊地名。
a007b092	v1#3	示	祦		&#x7966;	音吳。福也。
